eta3,w3,ReG3,ImG3,absG3,err_fund
0.0050510197512035684,3.65,-0.008486068691479332,-0.017765248014612777,0.019688001393163526,-0.0003157010871928101
0.017192799225767903,3.9,-0.0669920066066574,-0.002115633714830127,0.06702540455082501,0.00047014368925935024
0.020373155171067664,4.4,-0.07943397876572678,-0.0011806829874834233,0.07944275294116428,0.0006180011696785837
0.025320924548763956,2.9,-0.09860738711297963,-0.0012831333239442413,0.0986157351763705,0.0007926491895497989
0.027508367106244908,3.2,-0.1071614442364113,-0.0019352957139764232,0.10717891817113114,0.0008412751663753326
0.03335826217927805,3.4,-0.12988102608522026,-0.005517225100799082,0.1299981565629396,0.0009496654881131494
0.04340127675207931,3.59,0.09914038469488698,-0.13706693251735033,0.16916311615469268,-0.002178998854591274
0.048697196740215554,3.5,-0.18768965138075447,-0.028164906836385506,0.1897911146827781,0.0005890702867599185
0.08473271032780731,3.545,-0.28274236632767025,-0.17064549698306267,0.33024707622803706,-0.008060021720431854
0.1029659364728025,3.566,-0.0764500777618924,-0.3939689684545218,0.4013180316094947,-0.004521474160540606
