N,kappa,Om,aO,reGa,imGa,psi,ok
3,1.319397993311037,2.1467965407544334,18117.979518805783,-0.3034435314231763,-0.008431920942475158,0.02778744665582002,True
3,1.319397993311037,2.143282983212495,25648.089588692357,-0.30486341262461586,-0.008497125657603315,0.027871910192339113,True
3,0.49665551839464883,1.9564384436267372,21614.37731089677,-0.40227051101980893,-0.012863253520926514,0.03197662560031175,True
3,0.49665551839464883,1.9523398072791025,42954.105700454544,-0.4049250398575747,-0.013004783120526187,0.03211651994922416,True
3,0.6672240802675585,1.6208640898563555,1656.9084535456025,-0.8803807199068665,-0.09804408794884845,0.11136555552831769,True
3,0.6672240802675585,1.617827172727148,1979.0995905322184,-0.8885304154502879,-0.0996790555339395,0.1121841794052985,True
3,0.8377926421404682,2.3654568595698056,12843.269547957447,-0.25468359625664605,-0.011151974962958574,0.043787566717570094,True
3,0.8377926421404682,2.360332097972453,18069.807201204214,-0.25631210383440606,-0.011271183841401567,0.04397445018313872,True
3,0.4765886287625418,1.9100765656510976,7496.250258665072,-0.43547681358790363,-0.0157770076840396,0.03622927143710009,True
3,0.4765886287625418,1.9031246984445398,15987.574334763722,-0.4408136598137967,-0.016033391212825744,0.03637226491483585,True
3,0.24581939799331104,1.406951558671391,1862.8123806485596,-1.1210703149830632,-0.12988245222060854,0.11585575898740193,True
3,0.24581939799331104,1.4029699043306842,2651.932774544452,-1.135626061480887,-0.13294477867169202,0.11706738968136081,True
3,0.44147157190635455,1.9571899399342367,7263.65353282965,-0.3898826731135419,-0.0075165259825747364,0.019278943387119357,True
3,0.44147157190635455,1.9496165836190287,15156.251044690094,-0.3945477235359868,-0.0076679456918497405,0.019434773626694983,True
3,0.7976588628762542,1.5574077565754636,11474.330844979397,-0.9793466974370304,-0.045979824578283784,0.04694948652873787,True
3,0.7976588628762542,1.556736618594227,13358.919095002308,-0.9816719336393067,-0.04616182237580985,0.047023675419420694,True
3,0.5468227424749164,1.1148871875272026,-79.32523567177884,0.6282112057699909,-0.10574698112804459,0.1683303006326221,True
3,0.5468227424749164,1.1217204786091788,-175.5741486725304,0.6573992740569862,-0.10853467502100572,0.16509704118048277,True
3,0.29096989966555187,1.628536752559791,3502.7138426291235,-0.7100964230654455,-0.05403423494809715,0.07609422212667184,True
3,0.29096989966555187,1.6222121982382154,6841.241906763163,-0.7209654677123144,-0.055475188095712606,0.07694569376774751,True
3,0.6822742474916388,2.0092214678626887,11531.437941014743,-0.46471796175543295,-0.028038718543955975,0.060334914617980503,True
3,0.6822742474916388,2.0055706137581244,17474.687737428772,-0.4685369349360974,-0.02852459080653559,0.06088013276995119,True
3,0.7474916387959867,1.6221892007792063,2110.525493503879,-0.6806093092326803,-0.022425114309231206,0.032948585928854406,True
3,0.7474916387959867,1.6171011583327877,3049.1816358835245,-0.6886464024673951,-0.02288628651684568,0.03323372696763527,True
3,0.19063545150501673,1.484640493515331,3684.310105006583,-0.951616693199585,-0.10982738957454714,0.11541137346516973,True
3,0.19063545150501673,1.4824076294571384,4640.802331429272,-0.9580844220860926,-0.11104491136788636,0.11590305489583251,True
3,0.7575250836120402,1.9402855671920778,11990.988433585591,-0.617133916537514,-0.048085369430983974,0.0779172366684549,True
3,0.7575250836120402,1.9382818137120081,15811.485572014839,-0.6208926816076717,-0.04870715450907021,0.07844697795914299,True
3,0.22073578595317728,1.8202726686327693,14380.548211523346,-0.49562790390708455,-0.025345444440612708,0.05113804981683239,True
3,0.22073578595317728,1.8152085441161452,38787.441842225155,-0.5002682574131433,-0.025748791924586307,0.051469969447455535,True
3,0.5568561872909699,2.231339481244424,99612.44248639644,-0.2679786075469028,-0.012031987082976816,0.04489905814915068,True
3,0.5568561872909699,2.2285309853167283,191746.75969395594,-0.2688868964801595,-0.012098544987994292,0.044994922201004366,True
3,0.2408026755852843,1.2809504238859206,905.4163395430526,-1.6873747882615733,-0.2658231876789235,0.1575365410981334,True
3,0.2408026755852843,1.2766662278318546,1232.860504432609,-1.7196195033251,-0.275378294899885,0.16013908563342447,True
3,0.3311036789297659,1.71645842637406,14166.588869657382,-0.5964067030314005,-0.029743857969175752,0.049871770082385795,True
3,0.3311036789297659,1.7140859677486715,21133.061362155204,-0.5993750032629428,-0.02999751624834794,0.05004799346826978,True
3,0.8729096989966555,2.2027379232654085,15804.844136191321,-0.2807346763309044,-0.007396121005190442,0.026345591153379894,True
3,0.8729096989966555,2.199342035387292,21020.092723578186,-0.28216126835202887,-0.007383902486687592,0.026169085962128996,True
3,1.254180602006689,2.4460211565393144,17156.084874070388,-0.24979813301498524,-0.009203234382085326,0.03684268681677148,True
3,1.254180602006689,2.439658177961662,28592.260492121823,-0.2524189436204528,-0.009605334752409468,0.03805314535684149,True
3,0.3060200668896321,1.1748728395551988,270.6269151154378,-3.2311697111267836,-0.8243226772030917,0.2551158716190216,True
3,0.3060200668896321,1.1702070755604665,252.0927237924242,-3.350764324463295,-0.8863480224323981,0.26452114699960816,True
3,0.47157190635451507,1.5589264299478847,6104.211884683242,-0.7818005631429534,-0.05240888970286264,0.06703613705798725,True
3,0.47157190635451507,1.5565366102386775,8377.237222456646,-0.7865021177318492,-0.052956028403145415,0.0673310690578462,True
3,0.19063545150501673,1.5107160811896152,3615.102240167589,-0.9065696496272869,-0.0758931644938997,0.08371465394313746,True
3,0.19063545150501673,1.5048205066438576,10375.342711388403,-0.9216563333622717,-0.07814626548865562,0.08478894210336749,True
3,0.41638795986622074,2.3130338552535847,58954.48091104427,-0.2478251633406801,-0.009950894817685789,0.040152883119485734,True
3,0.41638795986622074,2.309338805797828,107117.42401658952,-0.24888953905530833,-0.010020681037466528,0.040261559708380225,True
3,0.9933110367892977,1.8768964902611562,6272.971151544127,-0.5136593722622951,-0.03741417761598459,0.07283849888925888,True
3,0.9933110367892977,1.872807074030405,8961.76857683173,-0.5182005422102478,-0.037972422831787395,0.07327746642221954,True
3,0.34615384615384615,1.7866786861405561,3118.1185164097515,-0.5368134489427648,-0.033323544297653516,0.06207658240173204,True
3,0.34615384615384615,1.7806992068744896,4632.236994539518,-0.5439634778046529,-0.033923839672370136,0.06236418630397976,True
