case,w2,kappa,side,Omega,tongue_width
lips,1.06,0.054222,below,1.067500,nan
lips,1.06,0.054222,below,1.068750,nan
lips,1.06,0.054222,below,1.070000,nan
lips,1.06,0.054222,below,1.071250,nan
lips,1.06,0.054222,below,1.072500,nan
lips,1.06,0.054222,below,1.073750,nan
lips,1.06,0.054222,below,1.075000,nan
lips,1.06,0.054222,below,1.076250,nan
lips,1.06,0.054222,below,1.077500,nan
lips,1.06,0.054222,below,1.078750,nan
lips,1.06,0.054222,below,1.080000,nan
lips,1.06,0.054222,below,1.081250,nan
lips,1.06,0.054222,below,1.082500,nan
lips,1.06,0.054222,below,1.083750,nan
lips,1.06,0.054222,below,1.085000,nan
lips,1.06,0.064222,above,1.035000,nan
lips,1.06,0.064222,above,1.036250,nan
lips,1.06,0.064222,above,1.037500,nan
lips,1.06,0.064222,above,1.038750,nan
lips,1.06,0.064222,above,1.040000,nan
lips,1.06,0.064222,above,1.041250,nan
lips,1.06,0.064222,above,1.042500,nan
lips,1.06,0.064222,above,1.043750,nan
lips,1.06,0.064222,above,1.045000,nan
lips,1.06,0.064222,above,1.046250,nan
lips,1.06,0.064222,above,1.047500,nan
lips,1.06,0.064222,above,1.048750,nan
lips,1.06,0.064222,above,1.050000,nan
lips,1.06,0.064222,above,1.051250,nan
lips,1.06,0.064222,above,1.052500,nan
lips,1.06,0.064222,above,1.053750,nan
lips,1.06,0.064222,above,1.055000,nan
lips,1.06,0.064222,above,1.056250,nan
lips,1.06,0.064222,above,1.057500,nan
lips,1.06,0.064222,above,1.058750,nan
lips,1.06,0.064222,above,1.060000,nan
lips,1.06,0.064222,above,1.061250,nan
lips,1.06,0.064222,above,1.062500,nan
lips,1.06,0.064222,above,1.063750,nan
lips,1.06,0.064222,above,1.065000,nan
lips,1.06,0.064222,above,1.066250,nan
lips,1.06,0.064222,above,1.067500,nan
lips,1.06,0.064222,above,1.068750,nan
lips,1.06,0.064222,above,1.070000,nan
lips,1.06,0.064222,above,1.071250,nan
lips,1.06,0.064222,above,1.072500,nan
lips,1.06,0.064222,above,1.073750,nan
lips,1.06,0.064222,above,1.075000,nan
lips,1.06,0.064222,above,1.076250,nan
lips,1.06,0.064222,above,1.077500,nan
lips,1.06,0.064222,above,1.078750,nan
lips,1.06,0.064222,above,1.080000,nan
lips,1.06,0.064222,above,1.081250,nan
lips,1.06,0.064222,above,1.082500,nan
lips,1.06,0.064222,above,1.083750,nan
lips,1.06,0.064222,above,1.085000,nan
