kappa,nh,mu,Om_left,Om_right,dOm,c_emp,spread_left,spread_right
0.13,2,0.011634600000000009,1.297177153485242,1.3146622436746007,0.01748509018935862,0.16210340912578736,4.351903199140139e-05,5.292507853216222e-05
0.13,3,0.011634600000000009,1.2973661941389307,1.3145353899699406,0.017169195831009842,0.1591747681032146,5.032394264792295e-05,5.3172396804690436e-05
0.13,4,0.011634600000000009,1.2973661941389305,1.3145353899699406,0.017169195831010065,0.15917476810321665,5.032394264747886e-05,5.317239680446839e-05
0.13,5,0.011634600000000009,1.297366483019579,1.3145352920345925,0.017168809015013498,0.15917118195118263,5.032948713745711e-05,5.317214641453738e-05
0.15,2,0.0316346,1.2999819020025702,1.3302348790779728,0.030252977075402532,0.17009319720622143,3.8405654691597846e-05,0.00014638047156978473
0.15,3,0.0316346,1.3001619527906005,1.3301440477934972,0.029982095002896614,0.1685702000590798,4.491688752294998e-05,0.0001511052072635799
0.15,4,0.0316346,1.3001619527906,1.3301440477934972,0.029982095002897058,0.1685702000590823,4.491688752339407e-05,0.00015110520726335785
0.15,5,0.0316346,1.3001623144994492,1.3301439925812515,0.0299816780818023,0.16856785597764484,4.493223310819694e-05,0.00015110824055519778
0.2,2,0.08163460000000002,1.312276986063413,1.3649555220747254,0.05267853601131245,0.18437267740852473,0.00019069006882821427,0.00015553837425530403
0.2,3,0.08163460000000002,1.3124784228180513,1.3648817028504465,0.05240328003239525,0.18340929297060546,0.0002787951043343728,0.00015898164792216285
0.2,4,0.08163460000000002,1.3124784228180513,1.3648817028504465,0.05240328003239525,0.18340929297060546,0.0002787951043341508,0.0001589816479223849
0.2,5,0.08163460000000002,1.3124792606290463,1.3648816721494674,0.05240241152042113,0.18340625321494491,0.00027891358708775904,0.0001589831306327838
