nh,kappa,side,om_tip,resid,spread,r2
1,0.12,left,1.2986436704962652,-0.02522729062954454,2.9406171855317353e-05,0.9997880629457377
1,0.12,right,1.304210763710573,-0.0756849829857913,8.681380472230771e-05,0.9999192209698039
1,0.121,left,1.2980737771333362,-0.01962451752143579,2.4646682569073874e-05,0.9997332418951838
1,0.121,right,1.3056436603324004,-0.0665170385649958,7.734566069617088e-05,0.9999071669932051
1,0.1225,left,1.297588478858626,-0.016521531087960284,2.1410285507839077e-05,0.9997215113990324
1,0.1225,right,1.3074617043170067,-0.057685833283471766,0.00017938758155122692,0.9999197966002985
1,0.125,left,1.2972155673100478,-0.014114678472793685,4.833370234003098e-05,0.9997657437820818
1,0.125,right,1.310085204205564,-0.04527086371081168,0.0001085074441167233,0.9999529468320307
1,0.1275,left,1.2971171646072777,-0.012200865294374807,0.00010180161009465394,0.9998277567522004
1,0.1275,right,1.3124487826119478,-0.03286272266666401,3.6940778333605095e-05,0.9999828175517533
1,0.13,left,1.2971771534852423,-0.010163604593373066,4.351903199184548e-05,0.9998898834931954
1,0.13,right,1.3146622436746007,-0.019958459451231647,5.292507853216222e-05,0.9999975266828621
1,0.14,left,1.2982394508947017,-0.00011900543719889356,4.1584689789431195e-05,0.9999987415768509
1,0.14,right,1.3227498254665309,0.033710440541852904,0.00017840638474742043,0.9999676926795888
1,0.15,left,1.2999819020025702,0.018390942719918257,3.8405654691597846e-05,0.9998841570391542
1,0.15,right,1.330234879077973,0.08521047205596233,0.00014638047157000678,0.9998685688600457
1,0.16,left,1.3020802947693146,0.03827560916556649,7.302322484137314e-05,0.9996099782579089
1,0.16,right,1.3374267347454496,0.13115175384132272,7.311835725287708e-05,0.9997527447655863
1,0.17,left,1.304430978681715,0.08667717575630718,8.631772235245805e-05,0.9993349833352391
1,0.17,right,1.344446131774263,0.17067327943595956,9.413008642633613e-05,0.9996438542942063
1,0.18,left,1.3069305578725516,0.11650485199521654,0.00011945634419174844,0.9989388637002005
1,0.18,right,1.3513533677608587,0.20406194282455203,0.00011630517156180353,0.9995487025183806
1,0.2,left,1.3122769860634131,0.17142875145378866,0.00019069006882821427,0.9980118742772932
1,0.2,right,1.3649555220747251,0.25505493035944937,0.00015553837425530403,0.9994067203706869
1,0.22,left,1.3179516466051655,0.2200782473555023,0.0002665519775169045,0.9969719576800384
1,0.22,right,1.378381379988531,0.2897104172284628,0.0001884679358188368,0.999319058785874
1,0.25,right,1.3983170394649198,0.32695865291236714,0.00022349020130363328,0.9992695876125807
1,0.28,right,1.4180899612434152,0.3477095127172163,0.00025030045211438257,0.9992646131883918
1,0.3,right,1.431198136448367,0.3558410031757546,0.00026481146649959264,0.9992759770356895
3,0.12,left,1.2990217937845525,0.0879377962411354,nan,nan
3,0.12,right,1.3039137047985498,0.020593183540114524,nan,nan
3,0.121,left,1.2983816176948217,0.10911040702924879,nan,nan
3,0.121,right,1.305403944686892,0.03870822688762132,nan,nan
3,0.1225,left,1.297845991136057,0.1235724067148567,nan,nan
3,0.1225,right,1.3072657577029496,0.052892401171504844,nan,nan
3,0.125,left,1.2974344163868685,0.13700456799429617,nan,nan
3,0.125,right,1.309925585880833,0.06868507342639418,nan,nan
3,0.1275,left,1.2973169766529018,0.14685254558494876,nan,nan
3,0.1275,right,1.312309072973587,0.08225578908445641,nan,nan
3,0.13,left,1.2973661941389307,0.15566681651296221,nan,nan
3,0.13,right,1.3145353899699406,0.09550510177507476,nan,nan
3,0.14,left,1.2984153626698685,0.1887803287980887,nan,nan
3,0.14,right,1.3226481338290896,0.14833711804519112,nan,nan
3,0.15,left,1.3001619527906005,0.2286816897153301,nan,nan
3,0.15,right,1.3301440477934972,0.1977983505466625,nan,nan
3,0.16,left,1.3022705551680496,0.2691879704070175,nan,nan
3,0.16,right,1.3373421099270493,0.24121154627502506,nan,nan
3,0.17,left,1.3046110360581404,0.3087881260764789,nan,nan
3,0.17,right,1.3443654638896307,0.2781682162978143,nan,nan
3,0.18,left,1.3071166029711478,0.3467970077359155,nan,nan
3,0.18,right,1.3512756224852056,0.3087833153551003,nan,nan
3,0.2,left,1.3124784228180513,0.4176921860913012,nan,nan
3,0.2,right,1.3648817028504465,0.35447092031671446,nan,nan
3,0.22,right,1.3783102645362053,0.3841301952065521,nan,nan
3,0.25,right,1.3982489448228663,0.4146417476075328,nan,nan
3,0.28,right,1.4180241633106558,0.42968575835629963,nan,nan
3,0.3,right,1.431133748043455,0.43437285630253086,nan,nan
