panel,x,kstar,reference
b,1.229726,0.22597470,0.22667001
b,1.236163,0.22756213,0.22821578
b,1.242588,0.22915007,0.22976228
b,1.249000,0.23073856,0.23130952
b,1.255398,0.23232761,0.23285753
b,1.261784,0.23391724,0.23440633
b,1.268158,0.23550748,0.23595593
b,1.274520,0.23709836,0.23750635
b,1.280869,0.23868988,0.23905761
b,1.287206,0.24028208,0.24060972
b,1.293532,0.24187497,0.24216271
b,1.299846,0.24346857,0.24371659
b,1.306149,0.24506290,0.24527138
b,1.312440,0.24665798,0.24682708
b,1.318721,0.24825383,0.24838372
b,1.324991,0.24985047,0.24994131
b,1.331249,0.25144790,0.25149987
b,1.337498,0.25304616,0.25305941
b,1.343735,0.25464524,0.25461994
b,1.349963,0.25624518,0.25618147
b,1.356180,0.25784599,0.25774402
b,1.362388,0.25944768,0.25930761
b,1.368585,0.26105026,0.26087223
b,1.374773,0.26265376,0.26243792
b,1.380951,0.26425818,0.26400467
b,1.387119,0.26586354,0.26557250
b,1.393279,0.26746985,0.26714141
b,1.399428,0.26907712,0.26871143
b,1.405569,0.27068537,0.27028256
b,1.411701,0.27229461,0.27185481
b,1.417824,0.27390485,0.27342819
b,1.423938,0.27551611,0.27500272
b,1.430044,0.27712839,0.27657839
