kappa,nh,mu,Om_left,Om_right,dOm,c_emp,r2_left,r2_right,Om_left_LO,Om_right_LO,dOm_LO
0.12,3,0.0016346,1.298682704644967,1.304228293250055,0.0055455886050881364,0.13716455579254938,0.995042974801162,0.9980089861245804,1.298460808155616,1.305037425514142,0.0065766173585259935
0.121,3,0.002634600000000001,1.2980859040083534,1.3056741804048102,0.007588276396456761,0.1478379043191362,0.9957636826974662,0.9985234976280677,1.2980268597297253,1.3063921178906035,0.008365258160878186
0.1225,3,0.004134600000000002,1.2975905316283385,1.3074802352223038,0.009889703593965349,0.15380360865542309,0.9970106694983074,0.9991814975180374,1.2976461086043676,1.308155331594379,0.010509222990011446
0.125,3,0.006634600000000004,1.2972415077402184,1.3100529245659007,0.01281141682568232,0.1572858990824918,0.9987181678710908,0.9998072188122126,1.2973670225168457,1.3107420666623468,0.01337504414550117
0.1275,3,0.009134600000000007,1.2971916594958475,1.3123509425922115,0.015159283096364051,0.1586112165263907,0.99970145281556,0.9999841033095114,1.2973271749580497,1.3130939306255724,0.015766755667522725
0.13,3,0.011634600000000009,1.2973263299721016,1.314487065571113,0.017160735599011323,0.1590963337094481,0.9998878173880146,0.9998625682139427,1.297430922801677,1.3153064726022516,0.017875549800574708
0.14,3,0.021634600000000018,1.2988493681799334,1.3222250675445013,0.02337569936456796,0.15892425277815828,0.995138325230758,0.9982148955875566,1.298615503531618,1.3234282095478151,0.024812706016197117
0.15,3,0.0316346,1.301203622896987,1.329358502183096,0.028154879286109047,0.15829693133318798,0.9855402405016261,0.9963033017443295,1.300447074839458,1.330964922041003,0.030517847201544823
0.16,3,0.04163460000000001,1.304009974068434,1.3362225040966549,0.032212530028220776,0.15786928357919927,0.9738438902540127,0.9947168887081582,1.3026264748504146,1.338210693125123,0.03558421827470837
0.17,3,0.05163460000000002,1.3071159133161416,1.3429433849563936,0.03582747164025202,0.15766879641847864,0.9612232321806101,0.9935159566800079,1.3050320829411697,1.3452821969836937,0.04025011404252399
0.18,3,0.0616346,1.3104109627715097,1.349593418871333,0.03918245609982329,0.1578262961902502,0.9487098133978821,0.9927028469321304,1.3076001816759246,1.3522383686401347,0.04463818696421007
0.2,3,0.08163460000000002,1.3159483256794902,1.363260416424179,0.047312090744688895,0.1655903429533452,0.9468709357821888,0.9938274117610548,1.3130831203625295,1.3659272175492767,0.05284409718674721
0.22,3,0.1016346,1.3217272196661916,1.3767821240906333,0.05505490442444172,0.17269319397971092,0.9466118805118059,0.9948751447490083,1.3188933071222817,1.3794247827205566,0.060531475598274875
0.25,3,0.1316346,1.3307410417940184,1.3968784506479461,0.06613740885392771,0.18228970704412842,0.9475717250181206,0.9961463343574218,1.3280203958635322,1.3994471318534285,0.07142673598989635
0.28,3,0.16163460000000002,1.3400758862088569,1.4168040123812324,0.07672812617237557,0.19084791766520084,0.9492024826374231,0.9970824700193338,1.3374821854804713,1.419280529979382,0.08179834449891077
0.3,3,0.18163459999999998,1.3464400409262014,1.430005057472391,0.08356501654618964,0.1960763494340463,0.9504214192865132,0.9975606048749556,1.3439189064184547,1.43241720407014,0.08849829765168526
