J,fd,F,code,kind
5.0,-51.36227870309242,126.96232624227675,0,real
5.0,-51.36227870309242,133.51483743886644,0,real
5.0,-51.36227870309242,140.06734863545614,0,real
5.0,-51.36227870309242,146.61985983204582,0,real
5.0,-51.36227870309242,153.17237102863552,0,real
5.0,-51.36227870309242,159.7248822252252,0,real
5.0,-51.36227870309242,166.2773934218149,0,real
5.0,-51.36227870309242,172.8299046184046,0,real
5.0,-51.36227870309242,179.3824158149943,0,real
5.0,-51.36227870309242,185.934927011584,0,real
5.0,-51.36227870309242,192.48743820817367,0,real
5.0,-51.36227870309242,199.03994940476338,0,real
5.0,-51.36227870309242,205.59246060135308,0,real
5.0,-51.36227870309242,212.1449717979428,0,real
5.0,-51.36227870309242,218.6974829945325,0,real
5.0,-51.36227870309242,225.24999419112217,0,real
5.0,-51.36227870309242,231.80250538771185,0,real
5.0,-51.36227870309242,238.35501658430155,0,real
5.0,-51.36227870309242,244.90752778089126,0,real
5.0,-51.36227870309242,251.46003897748096,0,real
5.0,-51.36227870309242,258.0125501740706,0,real
5.0,-51.36227870309242,264.5650613706603,0,real
5.0,-51.33907870309242,128.33191588081945,0,real
5.0,-51.33907870309242,134.67726098894752,0,real
5.0,-51.33907870309242,141.0226060970756,0,real
5.0,-51.33907870309242,147.36795120520364,0,real
5.0,-51.33907870309242,153.7132963133317,0,real
5.0,-51.33907870309242,160.05864142145978,0,real
5.0,-51.33907870309242,166.40398652958785,0,real
5.0,-51.33907870309242,172.7493316377159,0,real
5.0,-51.33907870309242,179.09467674584397,0,real
5.0,-51.33907870309242,185.44002185397204,0,real
5.0,-51.33907870309242,191.7853669621001,0,real
5.0,-51.33907870309242,198.13071207022818,0,real
5.0,-51.33907870309242,204.47605717835626,0,real
5.0,-51.33907870309242,210.82140228648433,0,real
5.0,-51.33907870309242,217.1667473946124,0,real
5.0,-51.33907870309242,223.51209250274047,0,real
5.0,-51.33907870309242,229.85743761086852,0,real
5.0,-51.33907870309242,236.2027827189966,0,real
5.0,-51.33907870309242,242.54812782712463,0,real
5.0,-51.33907870309242,248.8934729352527,0,real
5.0,-51.33907870309242,255.23881804338077,0,real
5.0,-51.33907870309242,261.58416315150885,0,real
5.0,-51.31587870309242,129.76365497299216,0,real
5.0,-51.31587870309242,135.89643234710022,0,real
5.0,-51.31587870309242,142.02920972120828,0,real
5.0,-51.31587870309242,148.16198709531633,0,real
5.0,-51.31587870309242,154.2947644694244,0,real
5.0,-51.31587870309242,160.42754184353245,0,real
5.0,-51.31587870309242,166.56031921764054,0,real
5.0,-51.31587870309242,172.6930965917486,0,real
5.0,-51.31587870309242,178.82587396585666,0,real
5.0,-51.31587870309242,184.9586513399647,0,real
5.0,-51.31587870309242,191.09142871407275,0,real
5.0,-51.31587870309242,197.22420608818084,0,real
5.0,-51.31587870309242,203.3569834622889,0,real
5.0,-51.31587870309242,209.48976083639695,0,real
5.0,-51.31587870309242,215.622538210505,0,real
5.0,-51.31587870309242,221.75531558461307,0,real
5.0,-51.31587870309242,227.88809295872113,0,real
5.0,-51.31587870309242,234.0208703328292,0,real
5.0,-51.31587870309242,240.15364770693725,0,real
5.0,-51.31587870309242,246.2864250810453,0,real
5.0,-51.31587870309242,252.41920245515337,0,real
5.0,-51.31587870309242,258.5519798292614,0,real
5.0,-51.29267870309242,131.26068646876084,0,real
5.0,-51.29267870309242,137.17535148583647,0,real
5.0,-51.29267870309242,143.09001650291214,0,real
5.0,-51.29267870309242,149.00468151998777,0,real
5.0,-51.29267870309242,154.9193465370634,0,real
5.0,-51.29267870309242,160.83401155413904,0,real
5.0,-51.29267870309242,166.7486765712147,0,real
5.0,-51.29267870309242,172.66334158829034,0,real
5.0,-51.29267870309242,178.57800660536597,0,real
5.0,-51.29267870309242,184.4926716224416,0,real
5.0,-51.29267870309242,190.40733663951727,0,real
5.0,-51.29267870309242,196.3220016565929,0,real
5.0,-51.29267870309242,202.23666667366857,0,real
5.0,-51.29267870309242,208.1513316907442,0,real
5.0,-51.29267870309242,214.06599670781986,0,real
5.0,-51.29267870309242,219.98066172489547,0,real
5.0,-51.29267870309242,225.89532674197113,0,real
5.0,-51.29267870309242,231.80999175904677,0,real
5.0,-51.29267870309242,237.7246567761224,0,real
5.0,-51.29267870309242,243.63932179319806,0,real
5.0,-51.29267870309242,249.55398681027367,0,real
5.0,-51.29267870309242,255.46865182734933,0,real
5.0,-51.269478703092425,132.82628980171108,0,real
5.0,-51.269478703092425,138.5171618220184,0,real
5.0,-51.269478703092425,144.20803384232576,0,real
5.0,-51.269478703092425,149.89890586263311,0,real
5.0,-51.269478703092425,155.58977788294044,0,real
5.0,-51.269478703092425,161.28064990324776,0,real
5.0,-51.269478703092425,166.97152192355512,0,real
5.0,-51.269478703092425,172.66239394386247,0,real
5.0,-51.269478703092425,178.3532659641698,0,real
5.0,-51.269478703092425,184.04413798447712,0,real
5.0,-51.269478703092425,189.73501000478447,0,real
5.0,-51.269478703092425,195.42588202509182,0,real
5.0,-51.269478703092425,201.11675404539915,0,real
5.0,-51.269478703092425,206.8076260657065,0,real
5.0,-51.269478703092425,212.49849808601385,0,real
5.0,-51.269478703092425,218.18937010632118,0,real
5.0,-51.269478703092425,223.8802421266285,0,real
5.0,-51.269478703092425,229.57111414693586,0,real
5.0,-51.269478703092425,235.2619861672432,0,real
5.0,-51.269478703092425,240.95285818755053,0,real
5.0,-51.269478703092425,246.64373020785786,0,real
5.0,-51.269478703092425,252.3346022281652,0,real
5.0,-51.24627870309242,134.46387534605367,0,real
5.0,-51.24627870309242,139.92514778271607,0,real
5.0,-51.24627870309242,145.3864202193785,0,real
5.0,-51.24627870309242,150.8476926560409,0,real
5.0,-51.24627870309242,156.30896509270332,0,real
5.0,-51.24627870309242,161.77023752936572,0,real
5.0,-51.24627870309242,167.2315099660281,0,real
5.0,-51.24627870309242,172.69278240269054,0,real
5.0,-51.24627870309242,178.15405483935294,0,real
5.0,-51.24627870309242,183.61532727601536,0,real
5.0,-51.24627870309242,189.07659971267776,0,real
5.0,-51.24627870309242,194.53787214934016,0,real
