kappa,mu,Om_left,Om_right,dOm,c_emp,spread_left,spread_right,r2_left,r2_right,conv_left,conv_right,dOm_LO
0.12,0.0016346,1.2990217937845525,1.3039137047985498,0.00489191101399733,0.12099649811671513,4.5832197757667004e-05,0.00010739017643257576,0.9997940183178788,0.9999165157554034,1,1,0.0065766173585259935
0.121,0.002634600000000001,1.2983816176948217,1.305403944686892,0.007022326992070171,0.1368118465526789,3.737279625681822e-05,9.236067286022553e-05,0.9997388118918514,0.9999028000043716,1,1,0.008365258160878186
0.1225,0.004134600000000002,1.297845991136057,1.3072657577029496,0.009419766566892696,0.1464951984570953,3.104671500064882e-05,0.0002031670265478791,0.9997305641528367,0.9999158284066256,1,1,0.010509222990011446
0.125,0.006634600000000004,1.2974344163868685,1.309925585880833,0.012491169493964449,0.15335421922355225,6.260909348165811e-05,0.00012115959845604429,0.9997715021596296,0.9999507869809964,1,1,0.01337504414550117
0.1275,0.009134600000000007,1.2973169766529018,1.312309072973587,0.0149920963206851,0.15686194529047562,0.00011671787457001592,4.18218143853899e-05,0.9998330848520625,0.9999823301003276,1,1,0.015766755667522725
0.13,0.011634600000000009,1.2973661941389307,1.3145353899699406,0.017169195831009842,0.1591747681032146,5.032394264792295e-05,5.3172396804690436e-05,0.9998931438072937,0.9999970882434043,1,1,0.017875549800574708
0.14,0.021634600000000018,1.2984153626698685,1.3226481338290896,0.024232771159221178,0.1647512225906191,3.463182411267418e-05,0.000183953803429171,0.9999986712280614,0.9999689754875692,1,1,0.024812706016197117
0.15,0.0316346,1.3001619527906005,1.3301440477934972,0.029982095002896614,0.1685702000590798,4.491688752294998e-05,0.0001511052072635799,0.999878208806858,0.9998697566668625,1,1,0.030517847201544823
0.16,0.04163460000000001,1.3022705551680496,1.3373421099270493,0.0350715547589997,0.1718809798224891,8.406838195207378e-05,7.559270995782796e-05,0.9995981528557861,0.9997542466515645,1,1,0.03558421827470837
0.17,0.05163460000000002,1.3046110360581404,1.3443654638896307,0.0397544278314903,0.17495046403035142,0.0001258238364707509,9.693645510977511e-05,0.9992018668251658,0.9996449070600879,1,1,0.04025011404252399
0.18,0.0616346,1.3071166029711478,1.3512756224852056,0.04415901951405776,0.1778718127199829,0.00017410504786163905,0.00011939104674962842,0.9987226323259325,0.9995496616510516,1,1,0.04463818696421007
0.2,0.08163460000000002,1.3124784228180513,1.3648817028504465,0.05240328003239525,0.18340929297060546,0.0002787951043343728,0.00015898164792216285,0.9975967361997078,0.9994065243172445,1,1,0.05284409718674721
0.22,0.1016346,1.3182579815404682,1.3783102645362053,0.06005228299573706,0.1883686960267115,0.0003066458104599157,0.0001921444890340407,0.9969307816887407,0.9993184636878485,0,1,0.060531475598274875
0.25,0.1316346,1.3272755066726742,1.3982489448228663,0.07097343815019208,0.1956189012014,0.0004416525231984991,0.00022734754797548717,0.9952830572311874,0.9992679667308616,0,1,0.07142673598989635
0.28,0.16163460000000002,1.3366598858469558,1.4180241633106558,0.08136427746370001,0.2023795406054292,0.0005904886653373964,0.000254087590999319,0.9935371160321421,0.9992632738910537,0,1,0.08179834449891077
0.3,0.18163459999999998,1.3430670940588392,1.431133748043455,0.08806665398461577,0.20663895890728617,0.0006991999324699183,0.00026847603831536837,0.9923235618516326,0.9992732836475767,0,1,0.08849829765168526
