k2,df,Jstar,J,split,split_over_k2,low,high,n1,n2_over_n1,chi_tol
0.25,-20.0,1.4520391933619978,2.9040783867239957,0.9581880174825734,3.8327520699302937,0.0,0.5333333333333333,28.23364386639106,105.48352669663257,0.0005976942226630091
0.25,-35.0,2.0292966760694986,4.058593352138997,0.9695728281749396,3.8782913126997585,0.0,0.5444444444444444,19.526879025657244,197.4616367215572,0.00032450239668089517
0.25,-50.0,2.4755666844546793,4.951133368909359,0.9737968103204508,3.8951872412818034,0.0,0.5666666666666667,10.806090000113096,289.4007656553323,0.00022272214797639162
0.25,-80.0,3.1859266035258766,6.371853207051753,0.9773823767099685,3.909529506839874,0.0,0.5666666666666667,-6.669966762691432,473.23926865133666,0.00013687719515655708
0.5,-20.0,1.4520391933619978,2.9040783867239957,0.9581880174825734,1.9163760349651469,0.0,0.5333333333333333,28.23364386639106,66.49718336590958,0.0007519896179094668
0.5,-35.0,2.0292966760694986,4.058593352138997,0.9695728281749396,1.9391456563498792,0.0,0.5444444444444444,19.526879025657244,126.42253844369002,0.00039582604355705906
0.5,-50.0,2.4755666844546793,4.951133368909359,0.9737968103204508,1.9475936206409017,0.0,0.5666666666666667,10.806090000113096,186.3026483093256,0.00026871672960115917
0.5,-80.0,3.1859266035258766,6.371853207051753,0.9773823767099685,1.954764753419937,0.0,0.5666666666666667,-6.669966762691432,306.03144754386983,0.00016365547446483628
1.0,-20.0,1.4520391933619978,2.9040783867239957,0.9581880174825734,0.9581880174825734,0.0,0.5333333333333333,28.23364386639106,26.830841641092224,0.0023095095232072704
1.0,-35.0,2.0292966760694986,4.058593352138997,0.9695728281749396,0.9695728281749396,0.0,0.5444444444444444,19.526879025657244,51.832779948540875,0.0011773738301018028
1.0,-50.0,2.4755666844546793,4.951133368909359,0.9737968103204508,0.9737968103204508,0.0,0.5666666666666667,10.806090000113096,76.82623082183332,0.0007901030041717695
1.0,-80.0,3.1859266035258766,6.371853207051753,0.9773823767099685,0.9773823767099685,0.0,0.5666666666666667,-6.669966762691432,126.8101152150741,0.00047656798149697187
2.0,-20.0,1.4520391933619978,2.9040783867239957,0.9581880174825734,0.4790940087412867,0.0,0.5333333333333333,28.23364386639106,7.923943810230115,0.013239621798881608
2.0,-35.0,2.0292966760694986,4.058593352138997,0.9695728281749396,0.4847864140874698,0.0,0.5444444444444444,19.526879025657244,15.42635566389998,0.006646097474817852
2.0,-50.0,2.4755666844546793,4.951133368909359,0.9737968103204508,0.4868984051602254,0.0,0.5666666666666667,10.806090000113096,22.929733300647115,0.00443480740599037
2.0,-80.0,3.1859266035258766,6.371853207051753,0.9773823767099685,0.48869118835498426,0.0,0.5666666666666667,-6.669966762691432,37.938455992125505,0.002662216403209101
4.0,-20.0,1.4520391933619978,2.9040783867239957,0.9581880174825734,0.23954700437064336,0.0,0.5333333333333333,28.23364386639106,2.075047171751855,0.09653224584417996
4.0,-35.0,2.0292966760694986,4.058593352138997,0.9695728281749396,0.2423932070437349,0.0,0.5444444444444444,19.526879025657244,4.04941287064689,0.04822578140190605
4.0,-50.0,2.4755666844546793,4.951133368909359,0.9737968103204508,0.2434492025801127,0.0,0.5666666666666667,10.806090000113096,6.024389055207797,0.03212304851210101
4.0,-80.0,3.1859266035258766,6.371853207051753,0.9773823767099685,0.24434559417749213,0.0,0.5666666666666667,-6.669966762691432,9.975144875902926,0.019254588417977836
