kappa,nh,mu,Om_left,Om_right,dOm,c_emp,r2_left,r2_right,Om_left_LO,Om_right_LO,dOm_LO
0.13,2,0.011634600000000009,1.2971408594469946,1.3146127045087455,0.017471845061750813,0.1619806142007238,0.9998928739416567,0.9998554899301565,1.297430922801677,1.3153064726022516,0.017875549800574708
0.13,3,0.011634600000000009,1.2973263299721016,1.314487065571113,0.017160735599011323,0.1590963337094481,0.9998878173880146,0.9998625682139427,1.297430922801677,1.3153064726022516,0.017875549800574708
0.13,4,0.011634600000000009,1.2973263299721018,1.3144870655711127,0.01716073559901088,0.15909633370944398,0.9998878173880148,0.9998625682139429,1.297430922801677,1.3153064726022516,0.017875549800574708
0.13,5,0.011634600000000009,1.2973266236587053,1.3144869692275083,0.01716034556880297,0.15909271775861505,0.9998877927404263,0.9998625757275221,1.297430922801677,1.3153064726022516,0.017875549800574708
0.15,2,0.0316346,1.3009509033548727,1.3294650803334394,0.02851417697856662,0.16031703312702483,0.9857486889117296,0.9962855025299435,1.300447074839458,1.330964922041003,0.030517847201544823
0.15,3,0.0316346,1.301203622896987,1.329358502183096,0.028154879286109047,0.15829693133318798,0.9855402405016261,0.9963033017443295,1.300447074839458,1.330964922041003,0.030517847201544823
0.15,4,0.0316346,1.301203622896987,1.329358502183096,0.028154879286109047,0.15829693133318798,0.9855402405016261,0.9963033017443292,1.300447074839458,1.330964922041003,0.030517847201544823
0.15,5,0.0316346,1.3012041681950453,1.3293584365017477,0.028154268306702424,0.15829349618561753,0.9855390574734235,0.9963033050314346,1.300447074839458,1.330964922041003,0.030517847201544823
0.2,2,0.08163460000000002,1.3154522015807664,1.3633554483304557,0.04790324674968938,0.16765936429791448,0.9473813811601001,0.9938304924518172,1.3130831203625295,1.3659272175492767,0.05284409718674721
0.2,3,0.08163460000000002,1.3159483256794902,1.363260416424179,0.047312090744688895,0.1655903429533452,0.9468709357821888,0.9938274117610548,1.3130831203625295,1.3659272175492767,0.05284409718674721
0.2,4,0.08163460000000002,1.3159483256794902,1.3632604164241788,0.04731209074468867,0.16559034295334443,0.9468709357821861,0.9938274117610544,1.3130831203625295,1.3659272175492767,0.05284409718674721
0.2,5,0.08163460000000002,1.315950051563989,1.363260375854105,0.04731032429011606,0.16558416043606636,0.9468672055766205,0.9938274043365334,1.3130831203625295,1.3659272175492767,0.05284409718674721
