kappa,beta_1,branch,omega_cusp,F_cusp,y_cusp,alpha,beta
0.070000,0.726667,0,1.056756,9.822433e-03,6.874087e-02,-5.619566e-02,3.244458e-02
0.070000,0.823333,0,1.056756,9.227815e-03,6.067008e-02,-5.619566e-02,3.244458e-02
0.070000,0.920000,0,1.056756,8.729569e-03,5.429533e-02,-5.619566e-02,3.244458e-02
0.070000,1.016667,0,1.056756,8.304193e-03,4.913282e-02,-5.619566e-02,3.244458e-02
0.070000,1.113333,0,1.056756,7.935497e-03,4.486680e-02,-5.619566e-02,3.244458e-02
0.070000,1.210000,0,1.056756,7.611917e-03,4.128240e-02,-5.619566e-02,3.244458e-02
0.070000,1.306667,0,1.056756,7.324944e-03,3.822834e-02,-5.619566e-02,3.244458e-02
0.070000,1.403333,0,1.056756,7.068159e-03,3.559504e-02,-5.619566e-02,3.244458e-02
0.070000,1.500000,0,1.056756,6.836614e-03,3.330113e-02,-5.619566e-02,3.244458e-02
0.080000,0.050000,0,1.060408,3.802132e-02,1.009247e+00,-5.677012e-02,3.277625e-02
0.080000,0.146667,0,1.060408,2.219967e-02,3.440613e-01,-5.677012e-02,3.277625e-02
0.080000,0.243333,0,1.060408,1.723500e-02,2.073794e-01,-5.677012e-02,3.277625e-02
0.080000,0.340000,0,1.060408,1.458051e-02,1.484186e-01,-5.677012e-02,3.277625e-02
0.080000,0.436667,0,1.060408,1.286581e-02,1.155626e-01,-5.677012e-02,3.277625e-02
0.080000,0.533333,0,1.060408,1.164160e-02,9.461686e-02,-5.677012e-02,3.277625e-02
0.080000,0.630000,0,1.060408,1.071129e-02,8.009893e-02,-5.677012e-02,3.277625e-02
0.080000,0.726667,0,1.060408,9.973431e-03,6.944357e-02,-5.677012e-02,3.277625e-02
0.080000,0.823333,0,1.060408,9.369671e-03,6.129027e-02,-5.677012e-02,3.277625e-02
0.080000,0.920000,0,1.060408,8.863766e-03,5.485035e-02,-5.677012e-02,3.277625e-02
0.080000,1.016667,0,1.060408,8.431851e-03,4.963507e-02,-5.677012e-02,3.277625e-02
0.080000,1.113333,0,1.060408,8.057487e-03,4.532544e-02,-5.677012e-02,3.277625e-02
0.080000,1.210000,0,1.060408,7.728933e-03,4.170440e-02,-5.677012e-02,3.277625e-02
0.080000,1.306667,0,1.060408,7.437548e-03,3.861913e-02,-5.677012e-02,3.277625e-02
0.080000,1.403333,0,1.060408,7.176816e-03,3.595890e-02,-5.677012e-02,3.277625e-02
0.080000,1.500000,0,1.060408,6.941712e-03,3.364155e-02,-5.677012e-02,3.277625e-02
0.090000,0.050000,0,1.063901,3.863719e-02,1.020116e+00,-5.738151e-02,3.312924e-02
0.090000,0.146667,0,1.063901,2.255926e-02,3.477667e-01,-5.738151e-02,3.312924e-02
0.090000,0.243333,0,1.063901,1.751418e-02,2.096128e-01,-5.738151e-02,3.312924e-02
0.090000,0.340000,0,1.063901,1.481669e-02,1.500170e-01,-5.738151e-02,3.312924e-02
0.090000,0.436667,0,1.063901,1.307421e-02,1.168071e-01,-5.738151e-02,3.312924e-02
0.090000,0.533333,0,1.063901,1.183018e-02,9.563585e-02,-5.738151e-02,3.312924e-02
0.090000,0.630000,0,1.063901,1.088480e-02,8.096157e-02,-5.738151e-02,3.312924e-02
0.090000,0.726667,0,1.063901,1.013498e-02,7.019145e-02,-5.738151e-02,3.312924e-02
0.090000,0.823333,0,1.063901,9.521441e-03,6.195035e-02,-5.738151e-02,3.312924e-02
0.090000,0.920000,0,1.063901,9.007342e-03,5.544107e-02,-5.738151e-02,3.312924e-02
0.090000,1.016667,0,1.063901,8.568430e-03,5.016963e-02,-5.738151e-02,3.312924e-02
0.090000,1.113333,0,1.063901,8.188002e-03,4.581358e-02,-5.738151e-02,3.312924e-02
0.090000,1.210000,0,1.063901,7.854126e-03,4.215354e-02,-5.738151e-02,3.312924e-02
0.090000,1.306667,0,1.063901,7.558022e-03,3.903504e-02,-5.738151e-02,3.312924e-02
0.090000,1.403333,0,1.063901,7.293066e-03,3.634617e-02,-5.738151e-02,3.312924e-02
0.090000,1.500000,0,1.063901,7.054154e-03,3.400386e-02,-5.738151e-02,3.312924e-02
0.100000,0.050000,0,1.067240,3.929167e-02,1.031603e+00,-5.802770e-02,3.350231e-02
0.100000,0.146667,0,1.067240,2.294139e-02,3.516830e-01,-5.802770e-02,3.350231e-02
0.100000,0.243333,0,1.067240,1.781085e-02,2.119733e-01,-5.802770e-02,3.350231e-02
0.100000,0.340000,0,1.067240,1.506767e-02,1.517064e-01,-5.802770e-02,3.350231e-02
0.100000,0.436667,0,1.067240,1.329568e-02,1.181225e-01,-5.802770e-02,3.350231e-02
0.100000,0.533333,0,1.067240,1.203057e-02,9.671283e-02,-5.802770e-02,3.350231e-02
0.100000,0.630000,0,1.067240,1.106917e-02,8.187329e-02,-5.802770e-02,3.350231e-02
0.100000,0.726667,0,1.067240,1.030666e-02,7.098189e-02,-5.802770e-02,3.350231e-02
0.100000,0.823333,0,1.067240,9.682725e-03,6.264798e-02,-5.802770e-02,3.350231e-02
0.100000,0.920000,0,1.067240,9.159917e-03,5.606541e-02,-5.802770e-02,3.350231e-02
0.100000,1.016667,0,1.067240,8.713571e-03,5.073460e-02,-5.802770e-02,3.350231e-02
0.100000,1.113333,0,1.067240,8.326699e-03,4.632950e-02,-5.802770e-02,3.350231e-02
0.100000,1.210000,0,1.067240,7.987167e-03,4.262824e-02,-5.802770e-02,3.350231e-02
0.100000,1.306667,0,1.067240,7.686047e-03,3.947462e-02,-5.802770e-02,3.350231e-02
0.100000,1.403333,0,1.067240,7.416603e-03,3.675547e-02,-5.802770e-02,3.350231e-02
0.100000,1.500000,0,1.067240,7.173644e-03,3.438678e-02,-5.802770e-02,3.350231e-02
0.110000,0.050000,0,1.070432,3.998287e-02,1.043667e+00,-5.870624e-02,3.389407e-02
0.110000,0.146667,0,1.070432,2.334497e-02,3.557954e-01,-5.870624e-02,3.389407e-02
0.110000,0.243333,0,1.070432,1.812417e-02,2.144520e-01,-5.870624e-02,3.389407e-02
0.110000,0.340000,0,1.070432,1.533273e-02,1.534804e-01,-5.870624e-02,3.389407e-02
0.110000,0.436667,0,1.070432,1.352957e-02,1.195038e-01,-5.870624e-02,3.389407e-02
0.110000,0.533333,0,1.070432,1.224220e-02,9.784373e-02,-5.870624e-02,3.389407e-02
0.110000,0.630000,0,1.070432,1.126390e-02,8.283068e-02,-5.870624e-02,3.389407e-02
0.110000,0.726667,0,1.070432,1.048797e-02,7.181192e-02,-5.870624e-02,3.389407e-02
0.110000,0.823333,0,1.070432,9.853059e-03,6.338056e-02,-5.870624e-02,3.389407e-02
0.110000,0.920000,0,1.070432,9.321054e-03,5.672101e-02,-5.870624e-02,3.389407e-02
0.110000,1.016667,0,1.070432,8.866856e-03,5.132786e-02,-5.870624e-02,3.389407e-02
0.110000,1.113333,0,1.070432,8.473178e-03,4.687125e-02,-5.870624e-02,3.389407e-02
